elbo_train,elbo_validation
544.8353881835938,545.0780029296875
544.8408203125,545.0433959960938
544.8431396484375,545.0602416992188
544.8336791992188,545.0881958007812
544.8226318359375,545.0570678710938
544.8265380859375,545.0346069335938
544.8331298828125,545.0642700195312
544.8126220703125,545.0111083984375
544.8175659179688,545.0443115234375
544.8291625976562,544.9885864257812
544.8067016601562,545.00146484375
544.7968139648438,545.03662109375
544.7945556640625,544.9940185546875
544.8023681640625,545.0311889648438
544.78515625,545.0355224609375
544.7835693359375,545.0050048828125
544.7929077148438,545.0147094726562
544.7891845703125,545.0347290039062
544.7626342773438,545.0081787109375
544.7735595703125,544.9952392578125
544.7485961914062,545.059326171875
544.7566528320312,544.96875
544.756103515625,544.972900390625
544.7599487304688,544.9833984375
544.758056640625,545.0025634765625
544.7470703125,545.0142822265625
544.7572631835938,545.00634765625
544.7311401367188,545.0546875
544.758544921875,545.0418090820312
544.7350463867188,544.9804077148438
544.7208251953125,544.9708862304688
544.7376098632812,545.0210571289062
544.73681640625,544.9988403320312
544.7249755859375,545.0167846679688
544.732421875,545.0094604492188
544.718994140625,544.94775390625
544.708984375,544.969970703125
544.7034912109375,545.0050659179688
544.6990356445312,544.9788818359375
544.7127075195312,544.93896484375
544.6959228515625,544.9418334960938
544.682861328125,544.960205078125
544.666259765625,544.9406127929688
544.7183837890625,544.9213256835938
544.6834106445312,544.9324951171875
544.6917114257812,544.90966796875
544.6842041015625,544.9302978515625
544.6851196289062,544.9708862304688
544.6809692382812,545.0101928710938
544.6589965820312,544.9220581054688
544.659912109375,544.9241333007812
544.6522216796875,544.8997802734375
544.6536865234375,544.9387817382812
544.65869140625,544.9356079101562
544.6345825195312,544.8820190429688
544.64697265625,544.9436645507812
544.6420288085938,544.9884643554688
544.6196899414062,544.8761596679688
544.6484375,544.9545288085938
544.6219482421875,544.89013671875
544.6508178710938,544.9110107421875
544.6143188476562,544.9087524414062
544.6343994140625,544.8841552734375
544.627197265625,544.9655151367188
544.6123046875,544.8685913085938
544.6184692382812,544.8883666992188
544.6155395507812,544.86865234375
544.6134643554688,544.8853149414062
544.609375,544.950439453125
544.6011962890625,544.9171142578125
544.6035766601562,544.9786376953125
544.6055908203125,544.8974609375
544.5956420898438,544.9129028320312
544.5855102539062,544.9186401367188
544.5805053710938,544.8958740234375
544.5936279296875,544.8983154296875
544.5888671875,544.8724975585938
544.5911254882812,544.8856201171875
544.5841064453125,544.910400390625
544.57470703125,544.8682250976562
544.5719604492188,544.8347778320312
544.5809936523438,544.931640625
544.56005859375,544.913818359375
544.5781860351562,544.8682861328125
544.55908203125,544.815185546875
544.5516967773438,544.7896118164062
544.5532836914062,544.8184204101562
544.5745239257812,544.863037109375
544.5682373046875,544.8411865234375
544.546630859375,544.8541870117188
544.5416870117188,544.8641967773438
544.5368041992188,544.8202514648438
544.5474243164062,544.845947265625
544.5423583984375,544.88525390625
544.5292358398438,544.8173828125
544.52734375,544.8067016601562
544.5226440429688,544.82275390625
544.5323486328125,544.85888671875
544.5122680664062,544.8009033203125
544.5235595703125,544.8201293945312
544.5140991210938,544.8352661132812
544.4865112304688,544.8228759765625
544.52001953125,544.8298950195312
544.5029296875,544.8900756835938
544.511474609375,544.872314453125
544.4966430664062,544.7688598632812
544.4945678710938,544.810546875
544.48291015625,544.833984375
544.500244140625,544.7810668945312
544.4677734375,544.7914428710938
544.483642578125,544.8302001953125
544.4974365234375,544.7846069335938
544.464111328125,544.7957763671875
544.4810180664062,544.7960205078125
544.4661865234375,544.8685302734375
544.4810180664062,544.8143920898438
544.460205078125,544.8327026367188
544.4637451171875,544.8010864257812
544.4619140625,544.8318481445312
